Opened,Open,High,Low,Close,Volume
2019-06-01 00:00:00,8555.00000000,8626.00000000,8445.50000000,8566.00000000,18156.96018100
2019-06-01 12:00:00,8563.02000000,8600.00000000,8442.36000000,8544.07000000,13711.27397600
2019-06-02 00:00:00,8545.10000000,8753.01000000,8524.00000000,8722.04000000,11768.00077600
2019-06-02 00:00:00,8545.10000000,8753.01000000,8524.00000000,8722.04000000,11768.00077600
2019-06-02 12:00:00,8723.00000000,8814.78000000,8561.47000000,8725.98000000,16067.13248900
2019-06-03 00:00:00,8726.00000000,8800.95000000,8321.50000000,8507.84000000,21986.57926700
2019-06-03 00:00:00,8726.00000000,8800.95000000,8321.50000000,8507.84000000,21986.57926700
2019-06-03 12:00:00,8505.10000000,8583.00000000,8080.80000000,8115.82000000,23706.38583700
2019-06-04 00:00:00,8115.66000000,8115.66000000,7780.40000000,7943.56000000,36620.95410100
2019-06-04 00:00:00,8115.66000000,8115.66000000,7780.40000000,7943.56000000,36620.95410100
2019-06-04 12:00:00,7943.56000000,8050.00000000,7481.02000000,7687.03000000,37522.99484000
2019-06-05 00:00:00,7687.04000000,7888.00000000,7678.23000000,7791.35000000,22736.07329000
2019-06-05 00:00:00,7687.04000000,7888.00000000,7678.23000000,7791.35000000,22736.07329000
2019-06-05 12:00:00,7790.75000000,7896.70000000,7572.78000000,7776.50000000,25943.58316500
2019-06-06 00:00:00,7778.08000000,7868.13000000,7740.40000000,7831.51000000,12140.59714900
