Opened,Open,High,Low,Close,Volume
2019-06-03 00:00:00,8726.00000000,8800.95000000,8321.50000000,8507.84000000,21986.57926700
2019-06-03 12:00:00,8505.10000000,8583.00000000,8080.80000000,8115.82000000,23706.38583700
2019-06-04 00:00:00,8115.66000000,8115.66000000,7780.40000000,7943.56000000,36620.95410100
